filepath,label
Fake faces/fake_9650.png,fake
Real faces/real_2041.png,real
Real faces/real_8668.png,real
Real faces/real_1114.png,real
Fake faces/fake_6902.png,fake
Fake faces/fake_8963.png,fake
Fake faces/fake_8072.png,fake
Real faces/real_3002.png,real
Fake faces/fake_771.png,fake
Real faces/real_8115.png,real
Real faces/real_3525.png,real
Real faces/real_7879.png,real
Fake faces/fake_3441.png,fake
Fake faces/fake_3296.png,fake
Fake faces/fake_7566.png,fake
Real faces/real_5252.png,real
Fake faces/fake_393.png,fake
Fake faces/fake_3796.png,fake
Real faces/real_8094.png,real
Real faces/real_322.png,real
Real faces/real_9923.png,real
Real faces/real_7459.png,real
Fake faces/fake_24.png,fake
Fake faces/fake_2553.png,fake
Real faces/real_9119.png,real
Fake faces/fake_3421.png,fake
Fake faces/fake_3060.png,fake
Fake faces/fake_9120.png,fake
Fake faces/fake_55.png,fake
Real faces/real_3649.png,real
Real faces/real_3941.png,real
Fake faces/fake_2880.png,fake
Fake faces/fake_3675.png,fake
Fake faces/fake_7630.png,fake
Fake faces/fake_8443.png,fake
Fake faces/fake_7157.png,fake
Fake faces/fake_6835.png,fake
Real faces/real_3434.png,real
Fake faces/fake_1739.png,fake
Fake faces/fake_2407.png,fake
Fake faces/fake_4440.png,fake
Fake faces/fake_9406.png,fake
Real faces/real_6517.png,real
Real faces/real_971.png,real
Fake faces/fake_3487.png,fake
Fake faces/fake_730.png,fake
Fake faces/fake_6137.png,fake
Real faces/real_3669.png,real
Fake faces/fake_4983.png,fake
Real faces/real_4058.png,real
Fake faces/fake_5976.png,fake
Fake faces/fake_4698.png,fake
Fake faces/fake_6829.png,fake
Fake faces/fake_6419.png,fake
Real faces/real_960.png,real
Fake faces/fake_2744.png,fake
Real faces/real_9864.png,real
Fake faces/fake_8263.png,fake
Fake faces/fake_4782.png,fake
Fake faces/fake_2196.png,fake
Real faces/real_7554.png,real
Fake faces/fake_9498.png,fake
Fake faces/fake_2059.png,fake
Fake faces/fake_2928.png,fake
Real faces/real_7085.png,real
Fake faces/fake_5753.png,fake
Real faces/real_4519.png,real
Real faces/real_3024.png,real
Fake faces/fake_7121.png,fake
Fake faces/fake_1494.png,fake
Real faces/real_5483.png,real
Real faces/real_1419.png,real
Real faces/real_6209.png,real
Fake faces/fake_9742.png,fake
Fake faces/fake_3143.png,fake
Fake faces/fake_2617.png,fake
Fake faces/fake_5568.png,fake
Real faces/real_980.png,real
Real faces/real_2783.png,real
Real faces/real_7713.png,real
Fake faces/fake_8518.png,fake
Real faces/real_8600.png,real
Fake faces/fake_8640.png,fake
Fake faces/fake_1830.png,fake
Fake faces/fake_7562.png,fake
Fake faces/fake_7751.png,fake
Real faces/real_6384.png,real
Real faces/real_4807.png,real
Real faces/real_6195.png,real
Fake faces/fake_9648.png,fake
Real faces/real_7567.png,real
Fake faces/fake_3397.png,fake
Fake faces/fake_2524.png,fake
Real faces/real_1346.png,real
Fake faces/fake_6124.png,fake
Fake faces/fake_7673.png,fake
Fake faces/fake_4455.png,fake
Fake faces/fake_5001.png,fake
Fake faces/fake_1621.png,fake
Real faces/real_2119.png,real
Fake faces/fake_4304.png,fake
Real faces/real_4309.png,real
Real faces/real_4484.png,real
Fake faces/fake_8013.png,fake
Real faces/real_4770.png,real
Real faces/real_2712.png,real
Fake faces/fake_7186.png,fake
Fake faces/fake_3615.png,fake
Fake faces/fake_9947.png,fake
Real faces/real_2545.png,real
Fake faces/fake_7619.png,fake
Real faces/real_9851.png,real
Real faces/real_4410.png,real
Fake faces/fake_647.png,fake
Fake faces/fake_7344.png,fake
Fake faces/fake_7407.png,fake
Real faces/real_9610.png,real
Fake faces/fake_9718.png,fake
Real faces/real_7571.png,real
Real faces/real_3570.png,real
Real faces/real_8602.png,real
Real faces/real_3559.png,real
Real faces/real_4991.png,real
Real faces/real_7439.png,real
Real faces/real_9325.png,real
Real faces/real_2300.png,real
Real faces/real_7666.png,real
Real faces/real_5804.png,real
Fake faces/fake_7022.png,fake
Fake faces/fake_4537.png,fake
Real faces/real_9757.png,real
Fake faces/fake_7014.png,fake
Real faces/real_5211.png,real
Fake faces/fake_8548.png,fake
Fake faces/fake_7366.png,fake
Real faces/real_9270.png,real
Real faces/real_3975.png,real
Fake faces/fake_3090.png,fake
Fake faces/fake_2232.png,fake
Fake faces/fake_2443.png,fake
Fake faces/fake_6656.png,fake
Fake faces/fake_4645.png,fake
Real faces/real_2730.png,real
Real faces/real_3298.png,real
Real faces/real_8956.png,real
Fake faces/fake_2410.png,fake
Fake faces/fake_4155.png,fake
Fake faces/fake_2276.png,fake
Real faces/real_6703.png,real
Real faces/real_1968.png,real
Real faces/real_4936.png,real
Real faces/real_2112.png,real
Real faces/real_878.png,real
Fake faces/fake_75.png,fake
Fake faces/fake_7989.png,fake
Real faces/real_7277.png,real
Real faces/real_5709.png,real
Fake faces/fake_7078.png,fake
Real faces/real_6687.png,real
Real faces/real_6418.png,real
Fake faces/fake_9431.png,fake
Real faces/real_9982.png,real
Fake faces/fake_73.png,fake
Real faces/real_4629.png,real
Real faces/real_8862.png,real
Real faces/real_4667.png,real
Fake faces/fake_5163.png,fake
Real faces/real_385.png,real
Real faces/real_4186.png,real
Real faces/real_5345.png,real
Real faces/real_2195.png,real
Fake faces/fake_5990.png,fake
Fake faces/fake_7634.png,fake
Real faces/real_1077.png,real
Real faces/real_6286.png,real
Real faces/real_5933.png,real
Fake faces/fake_1512.png,fake
Fake faces/fake_717.png,fake
Fake faces/fake_6363.png,fake
Real faces/real_8072.png,real
Fake faces/fake_2020.png,fake
Real faces/real_9543.png,real
Fake faces/fake_94.png,fake
Fake faces/fake_6355.png,fake
Fake faces/fake_1631.png,fake
Real faces/real_2848.png,real
Fake faces/fake_7791.png,fake
Real faces/real_7722.png,real
Real faces/real_812.png,real
Fake faces/fake_8193.png,fake
Real faces/real_5135.png,real
Real faces/real_8510.png,real
Real faces/real_7434.png,real
Fake faces/fake_3476.png,fake
Real faces/real_936.png,real
Fake faces/fake_8965.png,fake
Real faces/real_1692.png,real
Real faces/real_6216.png,real
Real faces/real_9459.png,real
Fake faces/fake_7527.png,fake
Fake faces/fake_4484.png,fake
Real faces/real_5792.png,real
Fake faces/fake_7266.png,fake
Real faces/real_2221.png,real
Fake faces/fake_4757.png,fake
Real faces/real_4693.png,real
Fake faces/fake_9108.png,fake
Real faces/real_5107.png,real
Fake faces/fake_6480.png,fake
Real faces/real_4745.png,real
Real faces/real_1604.png,real
Fake faces/fake_2395.png,fake
Fake faces/fake_3863.png,fake
Real faces/real_8213.png,real
Real faces/real_1092.png,real
Fake faces/fake_6884.png,fake
Real faces/real_6311.png,real
Real faces/real_9012.png,real
Real faces/real_351.png,real
